Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0000","0.0000"
"0.0200","0.0000","0.0000"
"0.0400","0.0000","0.0000"
"0.0600","0.0003","0.0000"
"0.0800","0.0011","0.0000"
"0.1000","0.0015","0.0000"
"0.1200","0.0016","0.0000"
"0.1400","0.0016","0.0000"
"0.1600","0.0016","0.0000"
"0.1800","0.0016","0.0000"
"0.2000","0.0016","0.0000"
"0.2200","0.0016","0.0000"
"0.2400","0.0017","0.0000"
"0.2600","0.0018","0.0000"
"0.2800","0.0020","0.0000"
"0.3000","0.0022","0.0000"
"0.3200","0.0024","0.0000"
"0.3400","0.0026","0.0000"
"0.3600","0.0029","0.0000"
"0.3800","0.0032","0.0000"
"0.4000","0.0034","0.0000"
"0.4200","0.0038","0.0000"
"0.4400","0.0041","0.0000"
"0.4600","0.0045","0.0000"
"0.4800","0.0048","0.0000"
"0.5000","0.0052","0.0000"
"0.5200","0.0057","0.0000"
"0.5400","0.0061","0.0000"
"0.5600","0.0065","0.0000"
"0.5800","0.0070","0.0000"
"0.6000","0.0074","0.0000"
"0.6200","0.0079","0.0000"
"0.6400","0.0083","0.0000"
"0.6600","0.0088","0.0000"
"0.6800","0.0092","0.0000"
"0.7000","0.0096","0.0000"
"0.7200","0.0101","0.0000"
"0.7400","0.0105","0.0000"
"0.7600","0.0110","0.0000"
"0.7800","0.0114","0.0000"
"0.8000","0.0118","0.0000"
"0.8200","0.0122","0.0000"
"0.8400","0.0126","0.0000"
"0.8600","0.0130","0.0000"
"0.8800","0.0134","0.0000"
"0.9000","0.0138","0.0000"
"0.9200","0.0141","0.0000"
"0.9400","0.0145","0.0000"
"0.9600","0.0148","0.0000"
"0.9800","0.0152","0.0000"
"1.0000","0.0155","0.0000"
"1.0200","0.0159","0.0000"
"1.0400","0.0162","0.0000"
"1.0600","0.0166","0.0000"
"1.0800","0.0169","0.0000"
"1.1000","0.0172","0.0000"
"1.1200","0.0176","0.0000"
"1.1400","0.0179","0.0000"
"1.1600","0.0182","0.0000"
"1.1800","0.0186","0.0000"
"1.2000","0.0189","0.0000"
"1.2200","0.0192","0.0000"
"1.2400","0.0196","0.0000"
"1.2600","0.0199","0.0000"
"1.2800","0.0202","0.0000"
"1.3000","0.0206","0.0000"
"1.3200","0.0209","0.0000"
"1.3400","0.0212","0.0000"
"1.3600","0.0216","0.0000"
"1.3800","0.0219","0.0000"
"1.4000","0.0222","0.0000"
"1.4200","0.0226","0.0000"
"1.4400","0.0229","0.0000"
"1.4600","0.0233","0.0000"
"1.4800","0.0236","0.0000"
"1.5000","0.0239","0.0000"
"1.5200","0.0242","0.0000"
"1.5400","0.0246","0.0000"
"1.5600","0.0249","0.0000"
"1.5800","0.0252","0.0000"
"1.6000","0.0255","0.0000"
"1.6200","0.0258","0.0000"
"1.6400","0.0262","0.0000"
"1.6600","0.0265","0.0000"
"1.6800","0.0269","0.0000"
"1.7000","0.0272","0.0000"
"1.7200","0.0275","0.0000"
"1.7400","0.0279","0.0000"
"1.7600","0.0282","0.0000"
"1.7800","0.0285","0.0000"
"1.8000","0.0289","0.0000"
"1.8200","0.0292","0.0000"
"1.8400","0.0295","0.0000"
"1.8600","0.0299","0.0000"
"1.8800","0.0302","0.0000"
"1.9000","0.0305","0.0000"
"1.9200","0.0309","0.0000"
"1.9400","0.0312","0.0000"
"1.9600","0.0315","0.0000"
"1.9800","0.0319","0.0000"
"2.0000","0.0322","0.0000"
"2.0200","0.0325","0.0000"
"2.0400","0.0329","0.0000"
"2.0600","0.0332","0.0000"
"2.0800","0.0335","0.0000"
"2.1000","0.0339","0.0000"
"2.1200","0.0342","0.0000"
"2.1400","0.0346","0.0000"
"2.1600","0.0349","0.0000"
"2.1800","0.0352","0.0000"
"2.2000","0.0356","0.0000"
"2.2200","0.0359","0.0000"
"2.2400","0.0362","0.0000"
"2.2600","0.0366","0.0000"
"2.2800","0.0369","0.0000"
"2.3000","0.0372","0.0000"
"2.3200","0.0375","0.0000"
